,MAE,MAPE
metricas_baseline,239511.4264122449,5.973431105955443
metricas_ARIMA_manual,143565.69233016414,3.4308885243561273
metricas_ARIMA_auto,235763.90152818867,5.909022972574255
metricas_Rigde_day_features,202714.91840295793,5.011581629062846
metricas_Random_Forest_day_features,134128.39405499937,3.2146894751399464
metricas_XGboost_day_features,119838.98704285712,2.866149164689182
metricas_Ridge_lag_day,109506.57963610497,2.6809679474342913
metricas_Random_Forest_lag_day,109506.57963610497,2.6809679474342913
metricas_XGBoost_lag_day,90433.29952857147,2.201584437612449
